Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
1,ベラジオオペラ,牡4,58,横山和,"13.3
(4人気)",13.3,(4人気)
2,マテンロウスカイ,セ5,58,横山典,"121.4
(12人気)",121.4,(12人気)
3,ステラヴェローチェ,牡6,58,佐々木,"150.3
(13人気)",150.3,(13人気)
4,タスティエーラ,牡4,58,松山,"53.8
(9人気)",53.8,(9人気)
5,ノースブリッジ,牡6,58,岩田康,"68.7
(10人気)",68.7,(10人気)
6,ソールオリエンス,牡4,58,横山武,"15.4
(7人気)",15.4,(7人気)
7,ドウデュース,牡5,58,武豊,"3.8
(2人気)",3.8,(2人気)
8,キングズパレス,牡5,58,シュタ,"97.0
(11人気)",97,(11人気)
9,ホウオウビスケッツ,牡4,58,岩田望,"48.1
(8人気)",48.1,(8人気)
10,ダノンベルーガ,牡5,58,Ｃデム,"14.3
(5人気)",14.3,(5人気)
11,ジャスティンパレス,牡5,58,坂井,"15.0
(6人気)",15,(6人気)
12,リバティアイランド,牝4,56,川田,"2.3
(1人気)",2.3,(1人気)
13,シルトホルン,牡4,58,大野,"412.0
(14人気)",412,(14人気)
14,レーベンスティール,牡4,58,ルメー,"4.7
(3人気)",4.7,(3人気)
15,ニシノレヴナント,セ4,58,田辺,"415.8
(15人気)",415.8,(15人気)
